observation_date,WALCL
2022-09-14,8832759
2022-09-21,8816802
2022-09-28,8795567
2022-10-05,8759053
2022-10-12,8758969
2022-10-19,8743922
2022-10-26,8723090
2022-11-02,8676870
2022-11-09,8678886
2022-11-16,8625620
2022-11-23,8621390
2022-11-30,8584576
2022-12-07,8582735
2022-12-14,8583413
2022-12-21,8564411
2022-12-28,8551169
2023-01-04,8507429
2023-01-11,8508587
2023-01-18,8489039
2023-01-25,8470557
2023-02-01,8433610
2023-02-08,8435369
2023-02-15,8384767
2023-02-22,8382190
2023-03-01,8339684
2023-03-08,8342283
2023-03-15,8639300
2023-03-22,8733787
2023-03-29,8705942
2023-04-05,8632384
2023-04-12,8614797
2023-04-19,8593263
2023-04-26,8562768
2023-05-03,8503994
2023-05-10,8503017
2023-05-17,8456760
2023-05-24,8436255
2023-05-31,8385854
2023-06-07,8389325
2023-06-14,8388323
2023-06-21,8362060
2023-06-28,8340914
2023-07-05,8298312
2023-07-12,8296923
2023-07-19,8274552
2023-07-26,8243344
2023-08-02,8206764
2023-08-09,8208241
2023-08-16,8145727
2023-08-23,8139066
2023-08-30,8121316
2023-09-06,8101318
2023-09-13,8098779
2023-09-20,8024090
2023-09-27,8002064
2023-10-04,7955782
2023-10-11,7952054
2023-10-18,7933162
2023-10-25,7907830
2023-11-01,7866664
2023-11-08,7860691
2023-11-15,7814991
2023-11-22,7810814
2023-11-29,7796145
2023-12-06,7737385
2023-12-13,7739566
2023-12-20,7724063
2023-12-27,7712781
2024-01-03,7681024
2024-01-10,7686710
2024-01-17,7673741
2024-01-24,7677230
2024-01-31,7630124
2024-02-07,7631300
2024-02-14,7633874
2024-02-21,7581683
2024-02-28,7567807
2024-03-06,7538857
2024-03-13,7541969
2024-03-20,7514348
2024-03-27,7484739
2024-04-03,7439558
2024-04-10,7438176
2024-04-17,7405506
2024-04-24,7402434
2024-05-01,7362474
2024-05-08,7353408
2024-05-15,7304272
2024-05-22,7299566
2024-05-29,7284319
2024-06-05,7255687
2024-06-12,7258974
2024-06-19,7252542
2024-06-26,7231163
2024-07-03,7221520
2024-07-10,7224079
2024-07-17,7208247
2024-07-24,7205455
2024-07-31,7178391
2024-08-07,7175256
2024-08-14,7177688
2024-08-21,7139952
2024-08-28,7123238
2024-09-04,7112567
2024-09-11,7115001
2024-09-18,7109137
2024-09-25,7080059
2024-10-02,7046925
2024-10-09,7046840
2024-10-16,7039284
2024-10-23,7029408
2024-10-30,7013490
2024-11-06,6994299
2024-11-13,6967108
2024-11-20,6923731
2024-11-27,6905140
2024-12-04,6895827
2024-12-11,6897485
2024-12-18,6889332
2024-12-25,6885963
2025-01-01,6852491
2025-01-08,6853554
2025-01-15,6834070
2025-01-22,6831760
2025-01-29,6818186
2025-02-05,6810935
2025-02-12,6813513
2025-02-19,6782332
2025-02-26,6766101
2025-03-05,6756764
2025-03-12,6759571
2025-03-19,6755982
2025-03-26,6740253
2025-04-02,6723452
2025-04-09,6727416
2025-04-16,6727113
2025-04-23,6726930
2025-04-30,6709277
2025-05-07,6710889
2025-05-14,6713270
2025-05-21,6688726
2025-05-28,6673244
2025-06-04,6672885
2025-06-11,6677155
2025-06-18,6681056
2025-06-25,6662200
2025-07-02,6659598
2025-07-09,6661912
2025-07-16,6659273
2025-07-23,6657715
2025-07-30,6642578
2025-08-06,6640843
2025-08-13,6643615
2025-08-20,6618415
2025-08-27,6603384
2025-09-03,6602071
2025-09-10,6605962
2025-09-17,6608597
2025-09-24,6608395
2025-10-01,6587119
2025-10-08,6590815
2025-10-15,6596454
2025-10-22,6589533
2025-10-29,6587034
2025-11-05,6572732
2025-11-12,6580462
2025-11-19,6555283
2025-11-26,6552419
2025-12-03,6535781
2025-12-10,6539303
2025-12-17,6556861
2025-12-24,6581231
2025-12-31,6640618
2026-01-07,6573602
2026-01-14,6581700
2026-01-21,6584580
2026-01-28,6587568
2026-02-04,6605909
2026-02-11,6622382
2026-02-18,6613395
2026-02-25,6613797
2026-03-04,6628894
2026-03-11,6646344
2026-03-18,6655939
2026-03-25,6657161
2026-04-01,6675344
2026-04-08,6693871
2026-04-15,6705696
2026-04-22,6707419
2026-04-29,6699950
2026-05-06,6709505
2026-05-13,6728502
2026-05-20,6713643
2026-05-27,6704383
2026-06-03,6711495
2026-06-10,6725397
2026-06-17,6736424
2026-06-24,6735645
2026-07-01,6724564
2026-07-08,6735609
2026-07-15,6743028
2026-07-22,6747378
2026-07-29,6738190
2026-08-05,6748567
2026-08-12,6759955
2026-08-19,6745699
2026-08-26,6730912
2026-09-02,6737204
